system:index,ABC_SORT,CTU_CODE,CTU_ID,CTU_ID_CEN,CTU_NAME,CTU_TYPE,FIVE_COLOR,Shape_Area,Shape_Leng,max_LST,.geo
0000000000000000000c,308,56680,2396471,02396471,St. Anthony,C,4,6100706.36445,12769.2180635,{LST=104.3295102932378},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,80,14158,2393683,02393683,Crystal,C,4,1.51800831194E7,33917.4649057,{LST=104.91026363777377},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,240,44476,2395111,02395111,Mound,C,4,1.31253522251E7,17819.4192311,{LST=105.00005123797574},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,330,58738,2396543,02396543,Savage,C,4,4.2490968896E7,32994.6206664,{LST=111.30146297386403},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,6,01720,2393964,02393964,Anoka,C,4,1.84291961525E7,24026.015964,{LST=104.9947593117322},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,56,10918,2393799,02393799,Chanhassen,C,4,5.90378526362E7,43039.3574315,{LST=107.39310235535017},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,260,45790,2395227,02395227,Newport,C,4,1.00547505336E7,16600.4805667,{LST=104.05599868347132},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,86,15148,2394486,02394486,Deephaven,C,4,1.01145330689E7,16272.4023799,{LST=104.2476427126606},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,110,20420,2394738,02394738,Falcon Heights,C,4,5798036.37022,11249.4506272,{LST=104.11583677072024},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,236,43270,2395351,02395351,Minnetonka Beach,C,4,3971697.35149,8137.59796182,{LST=102.15883706587711},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,302,55186,2396415,02396415,Rogers,C,4,6.797439185E7,42227.9698676,{LST=105.65048827369873},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,22,05554,2394156,02394156,Bethel,C,4,2698776.72246,7336.74806169,{LST=105.00889827044244},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,226,41696,2395097,02395097,Mendota Heights,C,4,2.6005124678E7,30530.9080371,{LST=104.89484567704363},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,271,47536,2437910,02437910,Nowthen,C,4,9.11707968581E7,38230.2945292,{LST=104.999620493978},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,120,22814,2394826,02394826,Fridley,C,4,2.79952458831E7,31458.5867116,{LST=105.60385749737607},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,12,04114,2394090,02394090,Bayport,C,4,4514956.87025,19540.6003787,{LST=102.40833755198139},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,136,26738,2394273,02394273,Ham Lake,C,4,9.26246607747E7,38530.9466401,{LST=105.19656098535874},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,50,10648,2393784,02393784,Centerville,C,4,6311613.76895,12856.7403104,{LST=102.92850452115275},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,172,34244,2395589,02395589,Lake Elmo,C,4,6.27000319195E7,35406.865302,{LST=103.14476231186518},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,204,39428,2395818,02395818,Mahtomedi,C,4,1.47476817108E7,31493.7124171,{LST=103.48165663685398},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,304,55726,2396433,02396433,Rosemount,C,4,9.11853976101E7,45138.0153772,{LST=107.12309022594215},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,300,55006,2396406,02396406,Rockford,C,4,759166.560471,6878.6584154,{LST=105.61152725130742},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,114,21770,2394789,02394789,Forest Lake,C,4,9.19093930949E7,38352.513823,{LST=105.01561216791988},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,336,59998,2395876,02395876,Shoreview,C,4,3.27424755423E7,35641.8394751,{LST=105.58131110115853},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,200,38222,2395764,02395764,Loretto,C,4,661837.949936,3254.13800434,{LST=105.4208125474684},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,174,34865,2395599,02395599,Lake St. Croix Beach,C,4,2550714.60382,7196.15056796,{LST=102.99501748897734},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,206,40166,2395838,02395838,Maple Grove,C,4,9.07661873471E7,42714.9036345,{LST=105.78806521650596},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,208,40256,2395841,02395841,Maple Plain,C,4,2775818.87775,8899.63042219,{LST=105.6878479386238},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,122,23318,2394871,02394871,Gem Lake,C,4,2861225.97768,7748.98299258,{LST=104.08407669065555},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,36,07966,2393429,02393429,Brooklyn Park,C,5,6.87035946959E7,41813.9033965,{LST=105.13939092299839},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,394,71500,2397370,02397370,Woodland,C,5,3002366.07016,6624.89921109,{LST=101.70198700578085},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,324,58018,2396516,02396516,St. Paul Park,C,5,9449264.53532,14839.7984104,{LST=104.05565983672206},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,2,00316,2393887,02393887,Afton,C,5,6.81968227703E7,38529.2727924,{LST=102.62922140077157},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,112,20618,2394747,02394747,Farmington,C,5,3.83976984654E7,48567.3867177,{LST=104.90536737618636},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,210,40382,2395846,02395846,Maplewood,C,5,4.66958970689E7,58011.0637893,{LST=104.45483010574847},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,358,65164,2397036,02397036,Tonka Bay,C,5,5448122.39513,10607.3203812,{LST=105.1144344285676},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,160,30140,2394417,02394417,Hopkins,C,5,1.05758033564E7,21435.2978594,{LST=107.58743748882374},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,40,08794,2393472,02393472,Burnsville,C,5,6.98752675373E7,38183.1741365,{LST=107.13283160778022},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,272,47690,2395282,02395282,Oak Grove,C,5,9.11436286867E7,40705.8810011,{LST=105.29877086310395},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,64,12376,2393579,02393579,Coates,C,5,3906016.30009,10832.8621921,{LST=102.99214676693288},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,238,43306,2395352,02395352,Minnetrista,C,5,8.01324123882E7,54686.9181614,{LST=105.87541945444305},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,124,24308,2394924,02394924,Golden Valley,C,5,2.7303424207E7,24214.4968886,{LST=106.2794072595134},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,186,35738,2395642,02395642,Lauderdale,C,5,1089322.94171,4412.35281471,{LST=103.63075293015524},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,382,69700,2397275,02397275,West St. Paul,C,5,1.29579368449E7,15116.5558187,{LST=104.58527567990816},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,102,18662,2394658,02394658,Elko New Market,C,5,9009883.58354,29588.5293956,{LST=103.78263490008305},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,152,27530,2394320,02394320,Hastings,C,5,3.10351949665E7,32194.4332271,{LST=103.31378159230208},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,68,12700,2393607,02393607,Columbia Heights,C,5,9107626.01321,15940.4229232,{LST=105.17888876509922},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,242,44530,2395118,02395118,Mounds View,C,5,1.07493523883E7,15358.9043103,{LST=103.73734758481795},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,70,12718,2393610,02393610,Columbus,C,5,1.23299674688E8,44906.2655247,{LST=104.67945334841092},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,222,41480,2395084,02395084,Medina,C,5,7.01540190336E7,37382.3456121,{LST=107.11514980993248},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,364,66820,665860,00665860,Vermillion Twp.,T,1,8.81737514789E7,46050.2931923,{LST=104.0804857846765},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,48,10450,663767,00663767,Cedar Lake Twp.,T,1,9.38093573635E7,38708.4096188,{LST=105.3199256684841},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,134,25982,664354,00664354,Grey Cloud Island Twp.,T,1,6917884.55415,13835.5356842,{LST=102.51407335185708},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,398,72130,666069,00666069,Young America Twp.,T,1,8.63585902742E7,65496.8811217,{LST=106.1340058399335},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,130,25802,664346,00664346,Greenvale Twp.,T,1,7.38973725772E7,40021.4041479,{LST=104.46768034195006},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,380,69520,665966,00665966,West Lakeland Twp.,T,1,3.28927777771E7,25426.6598889,{LST=103.36910117857443},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,180,35108,664705,00664705,Laketown Twp.,T,1,6.97496071473E7,52259.1392532,{LST=105.52244970238914},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,326,58486,665551,00665551,San Francisco Twp.,T,1,6.23902615132E7,44839.4038395,{LST=105.61594913935573},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,194,37376,664793,00664793,Linwood Twp.,T,1,9.35493039088E7,38516.6050177,{LST=104.7496096474324},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,78,13726,663886,00663886,Credit River Twp.,T,2,6.16157013734E7,33095.9493863,{LST=105.7794275702996},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,42,09406,663731,00663731,Camden Twp.,T,2,8.89798235933E7,47221.606938,{LST=105.73982207893529},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,18,04852,663556,00663556,Belle Plaine Twp.,T,2,9.79194815235E7,54144.0294252,{LST=105.32645728963286},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,92,16228,663994,00663994,Douglas Twp.,T,2,8.80976411689E7,47706.5998768,{LST=103.05057217653291},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,262,46330,665126,00665126,Nininger Twp.,T,2,4.23851958667E7,31163.0872948,{LST=103.06304790963485},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,144,26918,664388,00664388,Hancock Twp.,T,2,4.60867985933E7,28784.4124343,{LST=106.02842389591348},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,46,10306,663763,00663763,Castle Rock Twp.,T,2,9.15737827974E7,46102.6670632,{LST=104.12843584808402},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,252,45754,665104,00665104,New Market Twp.,T,3,8.38091689687E7,68189.2947995,{LST=105.93606080268921},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,370,67450,665887,00665887,Waconia Twp.,T,3,7.979766465E7,68259.651338,{LST=106.13042336167527},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,328,58324,665541,00665541,Sand Creek Twp.,T,3,8.39634015781E7,50345.6657758,{LST=105.74265412978207},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,292,53116,665377,00665377,Randolph Twp.,T,3,2.74614268636E7,33153.5862461,{LST=102.86616669314562},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,294,53260,665381,00665381,Ravenna Twp.,T,3,5.67793007127E7,36397.2119024,{LST=101.89666672699666},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,104,19376,664099,00664099,Empire Twp.,T,3,8.16689125846E7,50770.5551611,{LST=105.3661151391388},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,14,04132,663529,00663529,Baytown Twp.,T,3,2.37617672354E7,39625.5804134,{LST=103.43710280137344},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,216,41120,664932,00664932,May Twp.,T,4,9.85027301689E7,42780.823108,{LST=102.9940400808849},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,214,40724,664919,00664919,Marshan Twp.,T,4,8.91414251492E7,43307.9068596,{LST=102.52457772544057},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,332,59008,665569,00665569,Sciota Twp.,T,4,3.84727400307E7,25581.2418755,{LST=106.3508983114767},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,106,19871,664113,00664113,Eureka Twp.,T,4,9.11624674556E7,40174.2004507,{LST=105.83237995737554},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,202,38294,664829,00664829,Louisville Twp.,T,4,3.77141749756E7,31643.8606914,{LST=105.15042421541628},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,30,06418,663612,00663612,Blakeley Twp.,T,4,7.15594375353E7,55487.1024663,{LST=105.84344430314135},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,154,28322,664443,00664443,Helena Twp.,T,4,8.79789834252E7,47278.3745979,{LST=105.2951268574294},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,20,05266,663571,00663571,Benton Twp.,T,4,8.77417786989E7,55401.5850679,{LST=106.6549260154842},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,376,68566,665931,00665931,Watertown Twp.,T,4,8.54178082806E7,65724.4559605,{LST=105.79002981328601},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,90,15688,663965,00663965,Denmark Twp.,T,4,7.80487902264E7,41276.0540755,{LST=103.16636976180541},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,168,31580,664569,00664569,Jackson Twp.,T,5,1.55655277182E7,28872.8654181,{LST=105.99064297769675},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,82,14482,663913,00663913,Dahlgren Twp.,T,5,9.14100166704E7,48212.0893573,{LST=106.51713574885221},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,372,68530,665929,00665929,Waterford Twp.,T,5,3.81203722076E7,27696.6515766,{LST=103.28071657232415},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,346,61978,665676,00665676,Spring Lake Twp.,T,5,7.37816734032E7,53095.026782,{LST=105.35899723919323},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,142,26882,664386,00664386,Hampton Twp.,T,5,8.91632702056E7,50186.2910906,{LST=103.39707025695172},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,354,62842,665712,00665712,Stillwater Twp.,T,5,4.12701033461E7,30519.8128525,{LST=103.1460543979758},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,388,69916,665981,00665981,White Bear Twp.,T,5,2.8452964681E7,57933.3090696,{LST=102.70617076920809},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,316,57184,665519,00665519,St. Lawrence Twp.,T,5,3.76337124566E7,33219.0605178,{LST=105.86638955802557},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,158,29726,664502,00664502,Hollywood Twp.,T,5,9.27053645362E7,40261.4531991,{LST=105.55357852887039},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,118,21965,664202,00664202,Fort Snelling (unorg.),U,5,2.00623559189E7,25452.7103089,{LST=105.14836699535694},"{""type"":""MultiPoint"",""coordinates"":[]}"
